DC02000000000000, Anti-Radar
8D309B3003000000, BKAN 1C
8535AB3703000000, Bren L4
B779CA3A03000000, Bumbar
01D1E23A03000000, Bushmaster II
42B84D5203000000, QW-1
86E1395703000000, #command T-55AD-1
03E2395703000000, #command T-72K1
DE025E5903000000, COMVAT
DE82805C03000000, WDU-5002/B CRV7 
DE72E96D03000000, Chu-MAT
A9DDC97403000000, Command Squad
D7D2D17703000000, Crotale
C320048403000000, D-30
47722D8D03000000, M-86
01B1408F03000000, DEFA 550
58162D9C03000000, M47 Dragon
33CD9AB703000000, DRAGONER
330D9BB703000000, DRAKON
A9A9DBB803000000, #command VELITELSKÝ ŠTÁB
81C280DA03000000, EPBV 90  #reco3
4271D5F803000000, Eldspruta m/41
0BC4410504000000, F-4F KWS
55C62D0604000000, F-5A
1606150904000000, F-84F
8131300B04000000, FAB 250
4160300B04000000, FAB 500
D740142004000000, FV432(M)
8B72904B04000000, GAZ-69A #reco2
8621784D04000000, GCT F1
01E12D5304000000, GIAT 30
4240485D04000000, GSh-301 
4340485D04000000, GSh-2-30 
4740485D04000000, GSh-6-30
5540485D04000000, GSh-30k 
C470485D04000000, GSh-6-23
8822E46604000000, M197 Vulcan
E96DD66A04000000, FLAKPZ. GEPARD
6E6EEE6E04000000, GIVATI
331DBB7104000000, Glilon
C111A97704000000, G60
C271A97704000000, M61
C871A97704000000, M67
4572A97704000000, M84
4475A97704000000, MK3
58C4A97704000000, RGN
59C4A97704000000, RGO
CFD2A97704000000, SAE-210
5639AB7704000000, Grenade Launcher
BB99E37A04000000, Carl Gustav M2
93D4209B04000000, HQ-7
0291749D04000000, HSS.831
B91ACBA604000000, Hamlet
8201F3A604000000, HAWK 51
6A6EFAA604000000, #command HAYATE
4A71F1B404000000, M-49
868158CC04000000, IBL-755
D79164DE04000000, ITO 86M
9760C6EC04000000, Igla-N
4420ECF004000000, IKV 103
4620ECF004000000, IKV 105
B3099BFB04000000, Twin Ivakan m/36
93D4340805000000, J-7C
93D4480805000000, J-7H
4620841D05000000, JSW 105
8621841D05000000, JSW 155
B7CAAA2605000000, JÆGERE #reco2
DE72D52605000000, MAT
D665ED2605000000, Javelin LML
DE72F93A05000000, Jyu-MAT
57B5544C05000000, kbk AKM
C2921C5705000000, KM68A1
86E1915A05000000, SpPz T-55 #reco1
89216B5D05000000, Ksp m/58
8CA70C6605000000, Ka-29TB
329DDE6605000000, KARDOM
4373BB6B05000000, KFIR C.2
4873BB6B05000000, KFIR C.7
D6650C6D05000000, Kh-25MPU
DA650C6D05000000, Kh-25MPU
03E2FD7505000000, KPz T-72
8192E37A05000000, KUSTJÄGARE '90
DA42E97E05000000, #command MITSUBISHI CV
D5B2388B05000000, LADA AK
C121708B05000000, LAR-160
45A1449705000000, LMG 944
04D22C9C05000000, LRAC 73
165678A005000000, LVT-4
B38ACFA605000000, A 32A LANSEN
33EDB2AA05000000, LEGION
4474B9AA05000000, l.MG3
81B2C3BB05000000, LVKV 90
C1D0CFBE05000000, Twin M621
95D3CFBE05000000, LYNX
C27204C205000000, PzMrs M113
C37204C205000000, M106A2
168604C205000000, M107
C3A204C205000000, M109A2
C4A204C205000000, SKH M/109A3
0B1708C205000000, M110 R.A.
C34208C205000000, M113A1
C44208C205000000, M113A3
C25208C205000000, #command M114A1
C35208C205000000, M114A2 #reco1
C2620CC205000000, M125A1
55C625C205000000, M18
D13726C205000000, SO-76 HELKET
C22204C305000000, M201A1
8D2604C305000000, M201 #reco2
BFC904C305000000, M20A1 Super Bazooka
191620C305000000, M270
55C61DC405000000, M36
8DB004C505000000, M40A1C RR
DA4209C505000000, M41A1
C22218C605000000, M551A1 SHERIDAN
04B318C605000000, M-55AB3
55C619C605000000, SEUNG-GONG-PO
56C321C705000000, M67 RR
024428C705000000, M693 F1
03B304C805000000, M-70AB2
E1620DC805000000, M72 LAW
B3890AC905000000, M81
CEA261CB05000000, MANPAD
9DB768CB05000000, MAPATS
413170CB05000000, MAR-240
813270CB05000000, MAR-290
571018CE05000000, CAYUSE #reco2
648308D305000000, Mi-17
15560CD305000000, Mi-25
1A580CD305000000, Mi-24VP
15E60CD305000000, #command MI-2D
55670DD305000000, AHS Mi-2 #reco2
1DF70DD305000000, Mi-2 URS
93D424D305000000, Mi-8T
5EE525D305000000, MI-8T KT
15E825D305000000, Mi-8TV
D7B334D305000000, MICA EM
DCB434D305000000, MICA IR
03B658D305000000, MILAN F2
45205CD305000000, MIM-104C
CB805CD305000000, MIM-72A
D0805CD305000000, MIM-72F
D1805CD305000000, MIM-72G
492034DC05000000, #command M151A1 CP
17C858DE05000000, MTP-LB
B319B3E605000000, MAGLAN #reco2
B929C3E605000000, MAKMAT
B709C7E605000000, MESAYA'AT
965608EE05000000, Mi-14PL
93D408EE05000000, Mi-1  #reco2
93D41CEE05000000, Mi-6
56A61DEE05000000, Mi-6
9A31B0EE05000000, MiG-25RBT
1532B0EE05000000, MiG-27K
1732B0EE05000000, MiG-27M
B2ABC7EE05000000, MILUIM
AEECCEEE05000000, Minimi
B799DFF405000000, Mortar
DDB5740B06000000, NASAMS
16B6181006000000, NF-5A
16C6181006000000, NF-5B
4110101506000000, 3000-2 
01222C1506000000, M1978
66CC4E1506000000, IGLA
E66D6A1506000000, YUCKJEONDAE
1966141706000000, NM45
D670541E06000000, 62L Shiki
8BA5D52606000000, 250-1
726CD62606000000, Napalm
297DCB2E06000000, Nimrod
5D93185206000000, OH-58C/S
55C61D5206000000, OH-6 #reco2
57B52C5D06000000, OSA-AKM
16671C5E06000000, OT-65RL #reco3
5A705C5E06000000, OT M-60P
8B53DD6A06000000, Twin GDF-001
E66EA67306000000, ONDAVA
306FB68406000000, MIM-23B I-Hawk PIP III
1CD4688506000000, #command P4 PC
43722D9C06000000, PRAM vz.82
46722D9C06000000, PRAM vz.85
55792D9C06000000, ShM vz.82 PRAM-S
1576209E06000000, PT-76 #reco1
EC6CB6B406000000, PO-HANG
B92AD3B706000000, PROMET
4223C9BA06000000, PUMA HC.1
08F2D6BB06000000, Pvpj 1110 m/77
45F2D6BB06000000, Pvpj 1110 m/84
012178C606000000, 130-1
C315180607000000, R.550 Magic II
0722550B07000000, RAKH 76
4A22550B07000000, RAKH 89
8222550B07000000, RAKH 91
57E35D0B07000000, RAM TCM #reco2
4160540C07000000, RBK-500
4380740C07000000, RBS 70 Mk.2
5EA0740C07000000, Twin RBS 90
C120801207000000, CN120-25
9EF3551907000000, UDT/SEAL
0EB6581907000000, AMX-30 ROLAND
1C88441A07000000, RPG-7VR
DDC8651A07000000, RPO Rys
260CBB2607000000, Raikka
B7EAD62607000000, Rapier
B39ADE2607000000, L21A1 RARDEN
AAAFA62A07000000, Redeye
EB3CB12A07000000, Rifle Team
C1205C2D07000000, Rh-M-120
9A17283007000000, Rk 90 TP
BBDAA23407000000, ROCHEV
E96CC63407000000, Roland
2D6ACA3407000000, ROMACH ERFB
B96BEE3407000000, ROVAIT
24B6044807000000, S-70
5D66354B07000000, SACLOS
CDA2714B07000000, SARPAC
CBE0655507000000, SKOT-2A
C9C13C5807000000, SNEB
4B50845A07000000, SPW-40A  #reco1
42A1445E07000000, STG 941
44A1445E07000000, STG 943
FEADD66607000000, SAPERY
B7AED66607000000, SAPEURS
B3B9FA6607000000, SAYFAN #reco2
78AED36807000000, LIGHT RIFLEMEN
B9D9986A07000000, Sea Cat
ACF9986A07000000, Sea Eagle
B10E9A6A07000000, Sea Vulcan CIWS
32DDA06A07000000, #command GROUPE DE CMDT
AECADE6A07000000, SERGEI
B1B9DF6A07000000, AML 60/20 SERVAL
0822556D07000000, ShKH-77
BB39AB6D07000000, SHENAV
261CBB6D07000000, ZSU-23-4V1 SZYŁKA 
AB1AD36D07000000, SHOLEF
7E7ED36D07000000, M60 'Shorty'
42ECE66D07000000, Shtil-1
5149D37207000000, Smoothbore Gun
B75ABB7307000000, Sniper Rifle
7586AA7507000000, Commando Squad
0D3BBB7907000000, LAAD STINGER C
B73AD37907000000, Stoner 63
424DDF7907000000, STROP 1
434DDF7907000000, STROP 2
AE7CEB7907000000, STURMI
56C5207A07000000, Su-7BKL
A9DDD57A07000000, Support Squad
7E5CD77A07000000, Supply Truck
EC4CE37A07000000, Susong Po
9791148407000000, KPz T-34/85M
D125158607000000, T54
C2B5188607000000, Deprec! T-55AM-1
C3B5188607000000, T-55AM2
15B6188607000000, T-55 #reco1
B30B198607000000, T-55A
56C31D8607000000, Type 56 RR
02C8148707000000, T-64BV1
D1D5158707000000, Type 64 SMG
D165218707000000, Type 67
15B60C8807000000, T-72M
8E700D8807000000, #command T-72M1D
97700D8807000000, T-72M1M
64D30D8807000000, T-72S
D165118807000000, Type 73 LMG
56C3258807000000, Type 78 RR
D165098907000000, Type 81
D1D5198907000000, Type 85 SMG
15D6058A07000000, T-90S
D7D2098A07000000, Type 91
1566189907000000, TO-55
D7D2CDA607000000, Tan SAM
B199CFA607000000, kbk Tantal
43219FAC07000000, TGB m/42
8321C0B407000000, D-1
8BC3DDB407000000, Fla-Kom TOR
05A2D6BE07000000, #command NANA-YON SHIKI A CV
8CB9AABF07000000, TZEFA B
8FB9AABF07000000, TZEFA E
CA5190CB07000000, UAZ-469 #reco2
165608D207000000, UH-14
8A4182D507000000, UK vz. 59
D6F274DD07000000, NAVY SEALS #reco2
E17275DD07000000, SMAW
887108E007000000, S-5M
883110E007000000, S-5M
03317CE407000000, ZU-23-2
D115180208000000, V-150 #reco1
9E16040708000000, V-600PT
C1B02C0E08000000, TA 20
41512D0F08000000, VEAK 40
C1205C1A08000000, VPM 120
097CA12E08000000, Vickers Mark 8
9379A73E08000000, OT-62 VYDRA-I
D674714B08000000, FV510 WARRIOR MILAN
B979CA7408000000, L6 WOMBAT
A291088B08000000, XA-185KT
5742C0E608000000, YAK-38M
93D4340A09000000, Z-9C
8821581309000000, ZIL-157
03627C1D09000000, ZSU-57-2
4B92901E09000000, ZTZ-88A
5E325D3F0A000000, Mi-8T
8B61783F0A000000, T-55A
D780783F0A000000, T-72M
8691793F0A000000, TO-55
AA6CC6500A000000, Flame-throwers are terror weapons. Only used in close combat due to their very limited range, they inflict terrible morale damage, much greater than the actual physical damages they could deal. Very few, even among the most experienced troops, would hold its position in the face of flamethrower, making it the perfect weapon to clear houses.
6ABCBA5C0A000000, Ranging from obsolete WW2 bolt rifles to modern semi-automatic rifles, they fire powerful and accurate 7,62mm cartridges, dealing heavy physical and suppression damages on unarmored targets.
8700CD660A000000, F-16A BLOCK 5
93D428880A000000, ZTZ-59-IIA
01C19AF70A000000, 30mm Frag
41C19AF70A000000, 40mm Frag
862104870C000000, m/60 
8700DDF40C000000, F-16A FIGHTING FALCON
03E2C5740D000000, T-72
CA7499E90D000000, AHS Mi-8R #reco3
0872E5F00D000000, M-77 Oganj
4872E5F00D000000, M-87 Orkan
8572E5F00D000000, M-94 Plamen-S
44205C4620000000, M103
B24C14A520000000, Cal. 45
558B3BC820000000, DShK
8C345CC820000000, M2 Browning
1ED861C820000000, NSVT
1EA8554521000000, KPVT
84205C0622000000, M113A1
A9C9C97230000000, 20mm Radar
A9C9C93231000000, 23mm Radar
A9C9C9B231000000, 25mm Radar
01813DCE32000000, Twin ADEN 30
01B1408F33000000, Twin DEFA 550
4340485D34000000, Twin GSh-2-30 
A75E0D4235000000, RZP KUB-M
33ED6A4837000000, 2S7 PION
E64C634A37000000, 2S9 NONA
DAC3A9B23A000000, 2e REP #reco2
A9C9C97240000000, 30mm Radar
A9C9C9B241000000, 35mm Radar
4942461A42000000, PLA 37-2
A9C9C93242000000, 37mm Radar
A9C9C97250000000, 40mm Radar
DDA265DE70000000, OT-62A
D1A545C381000000, GPMG
C39258C381000000, L37
41315CC381000000, M240
441175C381000000, SG-43
4B971144A5000000, 9K33 OSA
B0CE2044A5000000, 9K37 BUK
C57510C4A5000000, 3M9M3
55C63108B1000000, A-37B DRAGONFLY
B9EB2F58B1000000, AYIT
4240608FB3000000, ADEN 30
4340608FB3000000, Twin ADEN 30
4540608FB3000000, Quad m/49 Bofors
41D11353B4000000, AGI 3x40
4B210857B4000000, AGM-114A Hellfire
4D210857B4000000, AGM-114C Hellfire
DA424182B4000000, AH-1S
55C64182B4000000, AH-1S
55C65182B4000000, AH-1J
55C67982B4000000, AH-1T
4B3008D7B4000000, AIM-120A AMRAAM
4FD875D9B5000000, AMOS
0D1708E2B5000000, AMX-10 RC #reco1
814208E2B5000000, AMX-13/90 #reco1
031310E2B5000000, AMX-30B2
02A42FE2B5000000, AMX AuF1
5CB77424B6000000, SASR
E66DD6D1B7000000, AUG Para
1CD7AA7BBE000000, Anti-Tank Team (RR)
B7AFE6B8BE000000, F88 Austeyr
B7CACEEABE000000, M1097 AVENGER
61E69557C4000000, TOW
93D414C3C5000000, BM-24
8BC321C3C5000000, MFRW BM-27
B30B09DAC5000000, BMP-1
82D609DAC5000000, SPz BMP-1 SP-1
14E509DAC5000000, BMP-1 TJJ #reco1
B30B0DDAC5000000, BMP-2
15265C0EC7000000, BRDM-1 #reco1
15365C0EC7000000, BRDM-2 #reco1
8C161C9CC7000000, SPW-60PB(ABS) #reco2
A4161C9CC7000000, BTR-60PB
4B905C1AC8000000, BVP M-80A
4171D32BCD000000, Bofors L/70
4B705C1ECE000000, BsT M-60A
6ABCBA37D2000000, C7
862174CFD2000000, 155mm/52
216849D8D2000000, HLVW
61E64DD8D2000000, ILTIS TOW-2
19560402D4000000, CF-104
61B72402D4000000, CF-18 ASuW
8B814993D4000000, HN-5A
8C814993D4000000, HN-5B
C7100C02D6000000, CN120-26/52
42337913D7000000, Optical failure
43337913D7000000, Stabilization malfunctioning
44337913D7000000, Firing computer reset
45337913D7000000, Weapons jammed
46337913D7000000, Track / transaxial hit
47337913D7000000, Fuel leak
48337913D7000000, Lost track / transaxial broke
49337913D7000000, Ammo internal explosion
4A337913D7000000, Gearbox hit
C8805CB7D9000000, Carbine M727
F06C7ABBD9000000, Cavalry Tank
831FC766DB000000, CHALLENGER 2
E6ADCA6EDB000000, CHIMERA
A74C337ADC000000, AT Cluster Bomb
047CC128DD000000, Cockerill Mk.3
097CC128DD000000, Cockerill Mk.8
D165E531DD000000, Colt LMG
E96CCA32DD000000, Command Vehicle
38AEA333DD000000, Concussion
0396450BE7000000, M47 Dragon II
3E7DE7B8EA000000, Destroyer
AAD9B233ED000000, DONG-HAE
EB3CE56EFC000000, Commando Squad
1616158100010000, F-104G
BFC92C8600010000, BAZ
9F752D8700010000, F-16A MLU
19762D8700010000, F-16AM
55C6E14E01010000, F-4D PEACE PHEASANT I
DA42514F01010000, F-4EJ
AE59514F01010000, F-4EJ KAI
55C6E14F01010000, F-4E PEACE PHEASANT II
10F4698B01010000, F-5A PUFF
55C6414702010000, F-86F SABRE
411008CC02010000, FAB 1000
416008CC02010000, FAB 1500M54
B7CAAA6E0C010000, FLIEGERFAUST
E64FCB370D010000, FORMOZA #reco2
6A6EB2EE0D010000, Frigate
6ABCBA3711010000, H&K G3
C12078CB14010000, GIAT 120
8A8078CB14010000,  GIAT 30/719B
81515CCD15010000, GMC M450
1516105217010000, Type 23-II
C381446D17010000, GShG-7,62
DDD294D817010000, CAS Gunship Helicopter
ECECC6B919010000, Gatling Gun
EEACCFBB19010000, GAVNUNI
16A6BAB31A010000, GENIE
2A1E2FEA1D010000, Alsetex
827139EA1D010000, DM51
C33258EA1D010000, L2A2
445471EA1D010000, RKG-3
6A6ACEEA1D010000, Grenade
B7FACFEA1D010000, GRENZER #reco2
B3BBAEEE1D010000, Mk-82 Griffin
B35AD7EE1D010000, JAS-39 GRIPEN
B9499FB31E010000, Gunboat
DA42514821010000, CH-47D
B82B0BC726010000, HQ-61
C275C1BC29010000, Hawk MM1
07B10C3C2D010000, 2A36
B949333C2D010000, MONITOR 105
DCE5983C2D010000, Howa DMR
C5E1993C2D010000, Howa 64 Shiki
4AE2993C2D010000, Howa 89 Shiki
34AA72EB3C010000, Recon Squad
B47967C340010000, J-22 ORAO
93D4080242010000, J-7II
93D4948844010000, JH-7
EE6DC2A649010000, JÄÄKÄRI
C26DEAAC49010000, JAGUAR 1
C36DEAAC49010000, JAGUAR 2
CB6DEAAC49010000, JAGUAR A
C82030B049010000, Yak-B
B31BABBB49010000, LAAD JAVELIN
55C6098B50010000, K1A1
55C605C150010000, K200
55C60DC550010000, K242
55C611C750010000, K263
55C609C950010000, K281
6ABCBAF750010000, K2
55C61D0254010000, KF-16C BLOCK 52D
4C62C85A57010000, Ksp m/58B
9AA5218359010000, Ka-27PL-P
B399B7B859010000, Kashtan CIWS
8B61787F5D010000, KPz T-55A
D180787F5D010000, Deprec! Kpz T-72G
D780787F5D010000, KPz T-72M
64535CA75E010000, KUB-M4
E6192F0A61010000, L-39ZO ALBATROS
7A3EAB0D62010000, L7
95C62DCE62010000, LADA RPK
DDE72DE062010000, LAV-AT
DD3734E062010000, #command LAV-C2
8170085F63010000, LCU 1610
55C6151E68010000, BUFFALO IV
C282681E68010000, LVTP-7A1
B99E9BAD69010000, LAHATUT OREV
56A61DB26B010000, Lim-6Bis
D547F4B36F010000, LYNX 3
82B4F4B36F010000, LYNX AH.1
88B4F4B36F010000, LYNX AH.7
037CF5B36F010000, LYNX Mk.2
24B6248170010000, M108
DA42058270010000, PzH M110
C212118270010000, M113A1G
CBE7118270010000, M113 TUA
0A611D8370010000, M126
61E6058670010000, M150 TOW
0A61198970010000, M185
0A6115C970010000, M284
453F2C0A71010000, Quad M39A2
176A7A8371010000, M52 Tactical Missile
9DE7098671010000, M551A1 (TTS) #reco2
B21C0C8671010000, M-55
E0D3240372010000, M728 CEV
0B97614572010000, M-84
B21C104772010000, M-86
B21C104A72010000, M-89
B3890A4F72010000, M81E1
61E6098172010000, M901 ITV
F89D778172010000, M-90 Stršljen 
426E56D872010000, MAN KAT1 6x6
87A114DD72010000, MAS 49/56
4CA3100473010000, MB-339CB
1516048673010000, MD 500D #reco3
6D27185774010000, Shillelagh
56A621C274010000, Mi-17
95062EC574010000, #command Mi-4AVPK
9B4436C574010000, #command Mi-4KK
15B649C574010000, Mi-4 Cargo
8B9655C574010000, #command Mi-4 KOPA
935669C974010000, MI-8P KPI
B30B79C974010000, Mi-8T
556779C974010000, VERSORGUNGS Mi-8
CB802DD674010000, MILAN F3
02842DD674010000, MILAN 1
8BC3319677010000, MZTM MT-LB
B3CEB6A879010000, Machine Gun
478B9AAC79010000, MAG'ACH 6
C2ADA6B779010000, MARDER 1
15A60C917B010000, MIG-29 9-12B
8E660CAC7B010000, MiG-25PD
64A30CAC7B010000, MIG-29 9-12A
B329BBB37B010000, Miniman
84CA9AB77B010000, MIRAGE IIIC
86CA9AB77B010000, MIRAGE 5F
B179E7B87B010000, Mistral
E6EBC2337D010000, MÖNKIJÄ #reco2
C771E5377D010000, M-66
C85031377E010000, Mauser BK-27
39CD9A5085010000, BAN-TANK FAGOT
83A2085785010000, M1992 #reco2
A74C33B589010000, Napalm Bomb 
B31E95BB89010000, Naval Gun
D7D295BB89010000, Naval SAM
CBADB6B88A010000, NESHER A
9E7099BB8A010000, RSPVO NEVA M1T
4160308B93010000, ODAB-500
DA42398794010000, OH-6D #reco1
8C161C9797010000, OT M-60PB
CB72209997010000, OTO Melara 76
2D4EC32D9E010000, OSHKOSH
B1790583A0010000, P-120 Malakhit
387D05C8A0010000, P-270 Moskit
CB101020A3010000, PBV 302A
42600C8BA5010000, 250-1
456F0C8BA5010000, PLA 25
8141308BA5010000, PLAB 350
F04C5795A6010000, PPK KONKURS
5C371D88A7010000, PT-76B
8172D2A9A9010000, PADOBRANCI '90
576AC6B1A9010000, Pallad-M
CBACCAB1A9010000, Plamen A
39EDDEB9A9010000, PATRIOT
B88E9BACAA010000, PEGASUS
FD6CC666AB010000, Phalanx CIWS
B7EACEB4AB010000, STURMPIONIERE
A89BE366AC010000, Plastic
846AB233AD010000, PŎN'GAE-3
8B52C3EDAE010000, PVHKP 9A
0872B2F9AE010000, PVTGB 9031 m/77
4572B2F9AE010000, PVTGB 9031 m/84
C44CB7B9AF010000, Python3
C54CB7B9AF010000, Python4
5EA5A5A6BE010000, Quad PKT
15566981C1010000, BTR-50PK
C5D02D04C2010000, R-73A-S-24
FAAA430BC4010000, Deprec! #command FUCHS Fufu
295D975EC5010000, Rocket Pod
56A605C8C5010000, RM-70
83832D56C6010000, AMX-30 ROLAND 3
F8ADB2B3C9010000, RANGERS #reco2
027CE530CA010000, Rocket Mk1 HE
037CE530CA010000, Rocket Mk2 Cluster
A74C33B9CA010000, Retarded HE Bomb
82600442CB010000, Rh-105-11
433A9B31CD010000, Roland 2
443A9B31CD010000, Roland 3
4477AB3BCD010000, ROVER REKV #reco2
2A4CCBB8D1010000, S-5 Smoke
327D47D7D2010000, Grom
415068D7D2010000, SAMP T200
D7327859D5010000, SKOT-2AM
831614A1D6010000, SPW-40P2 #reco1
8B1614A1D6010000, SPW-40PA #reco1
951618A1D6010000, SPW-50PK
9F1618A1D6010000, #command SPW-50PU
8C161CA1D6010000, SPW-60PB
837631A4D6010000, SPz BMP-2/c
4BE30942D7010000, SS-11 TCA
85310CC2D7010000, SU-122-54
D1C239DAD7010000, M47 Super Dragon
DA420507D8010000, 81 MSP
DA420587D8010000, 107 MSP
46209CA6D9010000, SK 60B 
FE7FABB5D9010000, SAPERZY
B7999AB7D9010000, SemAct radar
D537D3BDD9010000, SAXON
A60E77A6DA010000, Sea Skua
3A9DCF66DB010000, SHANTOU
B159E574DB010000, SH'OT KAL
2D1EAF3EDC010000, Skyflash
8142A766DD010000, SPADOCHRONIARZE '90
9CA5C26EDD010000, Spike LR
DCA5C26EDD010000, Spike MR
C731DC66DE010000, STAR 266 ZAOP.
B7CACE6EDE010000, FIM-92A Stinger
8692D374DE010000, STOOTTROEPEN '95
8219AB77DE010000, 9M31
8319AB77DE010000, PLRK STRELA-2
8419AB77DE010000, Strela-3
4620EC77DE010000, STRV 105
C220EC77DE010000, STRV 121
4320DC7BDE010000, STRV 102
4520DC7BDE010000, STRV 104
15160482DE010000, Su-100
5A710D83DE010000, Su-22M4P
64531A83DE010000, Su-25K
15261F88DE010000, Su-76M
5AE5CAB4DE010000, Suomi KP
F94DD7B5DE010000, Fire Support Vehicle
C2652405E1010000, T-34/85M1
5DC77D05E1010000, T-34/85 Obr. 1969
8C702D86E1010000, T-55AM1B
CC702D86E1010000, T-55AM2B
02782D86E1010000, T-55AMV
8EE52D86E1010000, T-55A TLD
E6EC3B86E1010000, T-55AM2 DYNA-1
8B965586E1010000, #command T-55A KOPA
8D6724C3E1010000, T62-85TC
F94D5FC5E1010000, T64
F94D5FC8E1010000, T67
8B965503E2010000, #command T-72 KOPA
64235C03E2010000, T-72M1cz
82935D03E2010000, T-72M1PÄIV
84935D03E2010000, T-72M1MOD
56A67503E2010000, T-72S 
8BC37503E2010000, KPz T-72S 
70EC8603E2010000, T-72M1 WILK
8BC31942E2010000, V-LKV T815
5DC77D81E2010000, T-72BU
82522DD6E3010000, TELAK 91
CBD02D5AE6010000, TOPAS-2A
455299B1EA010000, TELAK 84
5DC77D37ED010000, 9K330 TOR
4C40CC2EEF010000, Twin M1919
4C53CD2EEF010000, Twin KCB
8B53CD2EEF010000, Twin KDA
16971CB5EF010000, Type 68
8C7214E4F2010000, #command UAZ-469U
55C62D82F4010000, #command UH-1A YIDONG-JIHWI-SO
55C63182F4010000, BELL 205
2C2D3582F4010000, UH-1C HOG
55C64982F4010000, UH-1H
DA426182F4010000, CH-135 GUNSHIP
CBE280CC02020000, VAB VDAA
016255CB03020000, Twin Ivakan m/48
81712C9C05020000, VLRA LOGISTIQUE
4B71785907020000, #command VSOT-64A/R2M
384DA7B309020000, CANADIAN AIRBORNE
B01ABBB809020000, 2B9 Vasilek
6A8CBAAD0A020000, Vehicle
B909A7B10B020000, VILDKAT #reco1
D364DEA90F020000, OT-62 VYDRA-II
197624C222020000, XA-186NO
1656048236020000, YP-104 #reco1
B219B7A849020000, ZACHLAM
E66EE6B849020000, Zastava M76
4642C7664B020000, 2A62
A979BBF96C020000, Antiradar
B179DF666D020000, M48A3 CHAPARRAL
08625CB389020000, #command M577
829755DD8F020000, #command VSOT-64A/R2
D7D245DE92020000, Dual purpose missiles are unique missiles able to engage aerial targets like SAMs, but also to be used as ATGMs against armored ground targets.
5639AB7794020000, Automatic Grenade-Launchers are a kind of heavy machine-guns firing 30mm to 40mm explosive grenade, although with a lesser rate of ire. Not only do they deal more damages than a regular HMG, but they are also perfect to stun the target under a hail of grenades.
CEA261CB95020000, Man-Portable Air Defense System are short-range missiles used by infantry or light vehicles to engage helicopters, but can also be used against planes with lesser effects.
B799DFF495020000, Mortar are light artillery firing sustended salvos over medium to long range and on an indirect trajectory. With average aim and reload times, and made more accurate if teamed with a spotter, they can quickly provide light support fire.
5149D37297020000, Description not available
B75ABB7397020000, Precision rifles used by some special forces units. Deadly accurate, they have a slow rate-of-fire but pick their man pretty much at every shot.
2E3B3FEBEC020000, Engineers Squad
5E325D315D030000, Mi-8T
D78078315D030000, T-72M JAGUAR
869179315D030000, TO-55
CB929ABA8D030000, Anti-Aircraft Squad
DE929ABA8D030000, Anti-Tank Squad
86E1E1F8AD030000, T-55 #reco1
D1D519C3BF030000, vz.25
83E12D0B32080000, AAT-52
327D47C9B00C0000, 2A28 Grom
C85031377E0D0000, Twin Mauser BK-27
E64C63C4D00D0000, 2S23 NONA-SVK
EECCD33713100000, M1919
43B10CB21C100000, 2A42 Shipunov
C3E769E433180000, BTR-152E ZPTU-2
C5E769E433180000, BTR-152E ZPTU-4
93D434DA72180000, ZSL-56
DEF248B29C180000, 58mm HEAT
C222488BA6190000, Bo 105P/PAH-1A1
DEF248B21C1C0000, 60mm HEAT
DEF248B27C1C0000, 66mm HEAT
DEF248B29C1C0000, 68mm HEAT
DEF248B21C200000, 70mm HEAT
DEF248B23C200000, 72,5mm HEAT
DEF248B24C200000, 73mm HEAT
DEF248B26C200000, 75mm HEAT
07A175D570200000, Twin Ksp m/36
DEF248B27C200000, 76mm HEAT
DEF248B21C240000, 80mm HEAT
DEF248B22C240000, 81mm HEAT
DEF248B23C240000, 82mm HEAT
DEF248B24C240000, 83mm HEAT
DEF248B25C240000, 84mm HEAT
DEF248B26C240000, 85mm HEAT
DEF248B2AC240000, 89mm HEAT
DEF248B21C280000, 90mm HEAT
DEF248B25C280000, 94mm HEAT
DEF248B26C280000, 95mm HEAT
16C614C1C02C0000, AB-204B
ADBA77DEE22C0000, Air Defense Anti-Tank System
E67DD28D202D0000, AH-1 COBRA
F1EA7248512D0000, AKM
F1EA7205522D0000, AK-74
4BE31082782D0000, AMX-13 OEIL NOIR
9E071282782D0000, AMX-13 VTT
1636719A782D0000, AMX-PRI
D8624D17892D0000, MILAN
E1B27017892D0000, MRAAW
DDD29118892D0000, NZSAS #reco2
01D2311C892D0000, RBS-70
5C860D04D12D0000, AS.332
6EACB657E42D0000, ATGM Helicopter
6ABB2C65E42D0000, ATGM / AA Helicopter
31EAB6EA6E2E0000, Anti-Aircraft Artillery
B97B9B7F8B2E0000, ACHZARIT
6A9EAB3A1D2F0000, ALOUETTE III  #reco2
B94A996D1D2F0000, ALPHA JET A
39AEDFA77C2F0000, Armbrust 300
34AA72B47C2F0000, Armored recon
B9CBD3527E2F0000, Self-Propelled Artillery
B31E956E7E2F0000, Artillery Gun
31EAB6EA9E2F0000, Tank Destroyer
F46CA274AE2F0000, Autocannon
462074A6BB2F0000, AVIA S-105
61E64DE515310000, I-TOW
439879E515310000, TOW 2
CEC245C270310000, BM-21 GRAD
5DC77D8373310000, BMD-2
03CC05037C310000, Mk 20 Rockeye II
F08C0F097C310000, Mk 82 Snakeye
9995690298310000, BOV-1 POLO
AC3E0E97C3310000, BRDM-2 #reco1
15B60405E7310000, BTR 40A #reco1
